Dates;PX_LAST;LAST_PRICE;PX_VOLUME
01/04/2010;1262.36;1262.36;384913800
01/05/2010;1270.38;1270.38;505626074
01/06/2010;1272.66;1272.66;244844486
01/07/2010;1266.79;1266.79;367925910
01/08/2010;1267.17;1267.17;406368652
01/11/2010;1257.85;1257.85;382071993
01/12/2010;1247.11;1247.11;368893829
01/13/2010;1245.64;1245.64;294281935
01/14/2010;1249.49;1249.49;305849077
01/15/2010;1233.89;1233.89;383268654
01/18/2010;1236.89;1236.89;250490153
01/19/2010;1252.34;1252.34;414410235
01/20/2010;1219.97;1219.97;461651175
01/21/2010;1192.35;1192.35;550506612
01/22/2010;1185.3;1185.3;489069423
01/25/2010;1172.72;1172.72;432677423
01/26/2010;1183.19;1183.19;526939125
01/27/2010;1149.77;1149.77;426301275
01/28/2010;1127.82;1127.82;484916262
01/29/2010;1140.57;1140.57;409198332
02/01/2010;1144.94;1144.94;287128037
02/02/2010;1159.89;1159.89;563859750
02/03/2010;1132.94;1132.94;510913765
02/04/2010;1064.09;1064.09;801666938
02/05/2010;1049.38;1049.38;814715086
02/08/2010;1060.09;1060.09;521132232
02/09/2010;1067.41;1067.41;496561688
02/10/2010;1089.54;1089.54;415748740
02/11/2010;1070.91;1070.91;314499321
02/12/2010;1064.61;1064.61;236084831
02/15/2010;1071.52;1071.52;287928754
02/16/2010;1081.41;1081.41;229490345
02/17/2010;1093.15;1093.15;328240346
02/18/2010;1100.76;1100.76;259372599
02/19/2010;1110.65;1110.65;344032092
02/22/2010;1099.28;1099.28;218986109
02/23/2010;1071.66;1071.66;279278636
02/24/2010;1065.12;1065.12;269175068
02/25/2010;1052.35;1052.35;269293549
02/26/2010;1074.18;1074.18;301540627
03/01/2010;1084.36;1084.36;216465942
03/02/2010;1092.66;1092.66;242573037
03/03/2010;1107.56;1107.56;265206862
03/04/2010;1115.99;1115.99;300871021
03/05/2010;1143.83;1143.83;290283045
03/08/2010;1149.38;1149.38;216061546
03/09/2010;1141;1141;238647602
03/10/2010;1153.43;1153.43;296618306
03/11/2010;1145.23;1145.23;261015108
03/12/2010;1148.02;1148.02;208202606
03/15/2010;1136.08;1136.08;291378204
03/16/2010;1145.78;1145.78;220371728
03/17/2010;1155.87;1155.87;275159789
03/18/2010;1145.5;1145.5;270587978
03/19/2010;1136.74;1136.74;672208101
