Dates;PX_LAST;LAST_PRICE;PX_VOLUME
01/04/2010;;14561.09;2349319
01/05/2010;;14921.5;5609429
01/06/2010;;15242.47;6475237
01/07/2010;;15355.31;4437052
01/08/2010;;15629.12;7055585
01/11/2010;;15924.8;8432263
01/12/2010;;15590.51;8045666
01/13/2010;;15539.13;15376099
01/14/2010;;15244.26;9471771
01/15/2010;;15104.7;7518590
01/18/2010;;15224.81;3951438
01/19/2010;;15194.76;4055056
01/20/2010;;15054.02;7754806
01/21/2010;;14811.1;4872333
01/22/2010;;14866.45;4995249
01/25/2010;;14851.75;3618428
01/26/2010;;14805.49;3122374
01/27/2010;;14668.93;6565509
01/28/2010;;14498.26;4440410
01/29/2010;;14440.05;2838672
02/01/2010;;14512.75;2041407
02/02/2010;;14659.14;3885577
02/03/2010;;14543.03;7505508
02/04/2010;;14086.5;3351158
02/05/2010;;13867.26;4288396
02/08/2010;;13808.44;2470221
02/09/2010;;14133.49;4433629
02/10/2010;;14176.46;2125529
02/11/2010;;14360.07;3013464
02/12/2010;;14286.24;1404737
02/15/2010;;14366.76;1287590
02/16/2010;;14529.61;6034461
02/17/2010;;14395.21;8825484
02/18/2010;;14407.69;10116534
02/19/2010;;14446.74;2908839
02/22/2010;;14414;5543708
02/23/2010;;14097.89;3590169
02/24/2010;;14122.57;2335436
02/25/2010;;13982.74;3417093
02/26/2010;;14002.32;3729502
03/01/2010;;14140.31;1578747
03/02/2010;;14210.62;5129939
03/03/2010;;14250.53;3147445
03/04/2010;;14231.25;6719321
03/05/2010;;14429.93;6786658
03/08/2010;;14469.68;4581796
03/09/2010;;14398.9;2674382
03/10/2010;;14346.8;2597765
03/11/2010;;14284.16;2522443
03/12/2010;;14374.65;4561011
03/15/2010;;14253.62;2579074
03/16/2010;;14458.31;5447753
03/17/2010;;14713.5;4117461
03/18/2010;;14717.48;5047867
03/19/2010;;14731.97;7676652
03/22/2010;;14759.52;3978719
03/23/2010;;14826.61;5622384
03/24/2010;;14758.5;3046094
03/25/2010;;14823.92;4811977
03/26/2010;;14974.1;4285558
03/29/2010;;15219.54;9805223
03/30/2010;;15138.2;5665723
03/31/2010;;15129;9667373
04/01/2010;;15129;9667373
04/02/2010;;15129;9667373
04/05/2010;;15467.42;6851309
