Dates;PX_LAST;LAST_PRICE;PX_VOLUME;PX_LAST;LAST_PRICE;PX_VOLUME;PX_LAST;LAST_PRICE;PX_VOLUME
01/04/2010;1262.36;1262.36;384913800;;14561.09;2349319;12145.1;12145.1;344688100
01/05/2010;1270.38;1270.38;505626074;;14921.5;5609429;12204.4;12204.4;445018600
01/06/2010;1272.66;1272.66;244844486;;15242.47;6475237;12222.5;12222.5;220825600
01/07/2010;1266.79;1266.79;367925910;;15355.31;4437052;12166.3;12166.3;314408900
01/08/2010;1267.17;1267.17;406368652;;15629.12;7055585;12163;12163;309714300
01/11/2010;1257.85;1257.85;382071993;;15924.8;8432263;12074.5;12074.5;305657200
01/12/2010;1247.11;1247.11;368893829;;15590.51;8045666;11966.1;11966.1;319965200
01/13/2010;1245.64;1245.64;294281935;;15539.13;15376099;11958.3;11958.3;248337700
01/14/2010;1249.49;1249.49;305849077;;15244.26;9471771;11999.8;11999.8;254664000
01/15/2010;1233.89;1233.89;383268654;;15104.7;7518590;11845;11845;341779200
01/18/2010;1236.89;1236.89;250490153;;15224.81;3951438;11870.7;11870.7;224106600
01/19/2010;1252.34;1252.34;414410235;;15194.76;4055056;12022.6;12022.6;384716800
01/20/2010;1219.97;1219.97;461651175;;15054.02;7754806;11709;11709;432577200
01/21/2010;1192.35;1192.35;550506612;;14811.1;4872333;11444;11444;523430500
01/22/2010;1185.3;1185.3;489069423;;14866.45;4995249;11373.4;11373.4;461265400
01/25/2010;1172.72;1172.72;432677423;;14851.75;3618428;11249.3;11249.3;412856800
01/26/2010;1183.19;1183.19;526939125;;14805.49;3122374;11347.3;11347.3;504705100
01/27/2010;1149.77;1149.77;426301275;;14668.93;6565509;11042.2;11042.2;391740200
01/28/2010;1127.82;1127.82;484916262;;14498.26;4440410;10829.3;10829.3;460803200
01/29/2010;1140.57;1140.57;409198332;;14440.05;2838672;10947.7;10947.7;391248500
02/01/2010;1144.94;1144.94;287128037;;14512.75;2041407;10995.2;10995.2;267976600
02/02/2010;1159.89;1159.89;563859750;;14659.14;3885577;11140.9;11140.9;539283100
02/03/2010;1132.94;1132.94;510913765;;14543.03;7505508;10888.4;10888.4;491512200
02/04/2010;1064.09;1064.09;801666938;;14086.5;3351158;10241.7;10241.7;755520000
02/05/2010;1049.38;1049.38;814715086;;13867.26;4288396;10103.3;10103.3;771664100
02/08/2010;1060.09;1060.09;521132232;;13808.44;2470221;10206.3;10206.3;495798600
02/09/2010;1067.41;1067.41;496561688;;14133.49;4433629;10275.4;10275.4;460147500
02/10/2010;1089.54;1089.54;415748740;;14176.46;2125529;10455;10455;376427200
02/11/2010;1070.91;1070.91;314499321;;14360.07;3013464;10281.7;10281.7;291926400
02/12/2010;1064.61;1064.61;236084831;;14286.24;1404737;10224.9;10224.9;211082500
02/15/2010;1071.52;1071.52;287928754;;14366.76;1287590;10293.6;10293.6;272411600
02/16/2010;1081.41;1081.41;229490345;;14529.61;6034461;10393.9;10393.9;211753100
02/17/2010;1093.15;1093.15;328240346;;14395.21;8825484;10498.6;10498.6;302054600
02/18/2010;1100.76;1100.76;259372599;;14407.69;10116534;10574.2;10574.2;238732700
02/19/2010;1110.65;1110.65;344032092;;14446.74;2908839;10676.7;10676.7;286886600
02/22/2010;1099.28;1099.28;218986109;;14414;5543708;10570.5;10570.5;174716300
02/23/2010;1071.66;1071.66;279278636;;14097.89;3590169;10312.9;10312.9;236671600
02/24/2010;1065.12;1065.12;269175068;;14122.57;2335436;10254;10254;245565800
02/25/2010;1052.35;1052.35;269293549;;13982.74;3417093;10126.2;10126.2;242257900
02/26/2010;1074.18;1074.18;301540627;;14002.32;3729502;10333.6;10333.6;286519300
03/01/2010;1084.36;1084.36;216465942;;14140.31;1578747;10434.9;10434.9;192439200
03/02/2010;1092.66;1092.66;242573037;;14210.62;5129939;10521.5;10521.5;216165000
03/03/2010;1107.56;1107.56;265206862;;14250.53;3147445;10664.5;10664.5;228766800
03/04/2010;1115.99;1115.99;300871021;;14231.25;6719321;10745.3;10745.3;282498800
03/05/2010;1143.83;1143.83;290283045;;14429.93;6786658;11019.8;11019.8;257180700
03/08/2010;1149.38;1149.38;216061546;;14469.68;4581796;11078.3;11078.3;193596500
03/09/2010;1141;1141;238647602;;14398.9;2674382;11002.8;11002.8;206305200
03/10/2010;1153.43;1153.43;296618306;;14346.8;2597765;11121;11121;277593000
03/11/2010;1145.23;1145.23;261015108;;14284.16;2522443;11045.4;11045.4;233017900
03/12/2010;1148.02;1148.02;208202606;;14374.65;4561011;11077;11077;185361700
03/15/2010;1136.08;1136.08;291378204;;14253.62;2579074;10957.8;10957.8;268210900
03/16/2010;1145.78;1145.78;220371728;;14458.31;5447753;11059.3;11059.3;197596700
03/17/2010;1155.87;1155.87;275159789;;14713.5;4117461;11166.8;11166.8;251232700
03/18/2010;1145.5;1145.5;270587978;;14717.48;5047867;11073.5;11073.5;248319500
03/19/2010;1136.74;1136.74;672208101;;14731.97;7676652;10990.8;10990.8;654694100
03/22/2010;1123.14;1123.14;274525772;;14759.52;3978719;10861.9;10861.9;251332800
03/23/2010;1137.16;1137.16;307899857;;14826.61;5622384;10996.2;10996.2;286150000
03/24/2010;1123.09;1123.09;335545546;;14758.5;3046094;10866.3;10866.3;308335100
03/25/2010;1145.9;1145.9;259646340;;14823.92;4811977;11091.4;11091.4;207881800
03/26/2010;1144.03;1144.03;259210198;;14974.1;4285558;11071.1;11071.1;222837800
03/29/2010;1145.66;1145.66;251561376;;15219.54;9805223;11091;11091;235163400
03/30/2010;1134.37;1134.37;307000057;;15138.2;5665723;10980.7;10980.7;273308400
03/31/2010;1123.08;1123.08;336244087;;15129;9667373;10871.3;10871.3;315500900
04/01/2010;1142.41;1142.41;379689218;;15129;9667373;11067.9;11067.9;365252200
04/02/2010;1142.41;1142.41;379689218;;15129;9667373;11067.9;11067.9;365252200
04/05/2010;1142.41;1142.41;379689218;;15467.42;6851309;11067.9;11067.9;365252200
04/06/2010;1151.1;1151.1;436191440;;15669.25;12341762;11160.6;11160.6;410186900
04/07/2010;1155.42;1155.42;397338114;;15691.17;6091071;11191.3;11191.3;367606900
04/08/2010;1144.31;1144.31;312009623;;15633.99;6219659;11076.3;11076.3;285668900
04/09/2010;1177.22;1177.22;427483442;;15733.36;11614310;11394.2;11394.2;403110100
04/12/2010;1184.98;1184.98;331892458;;15743.5;5113095;11460.8;11460.8;304853000
04/13/2010;1185.31;1185.31;493772571;;15691.72;3093245;11461;11461;467147700
04/14/2010;1189.77;1189.77;312982662;;15803.61;11923956;11503.7;11503.7;251405100
04/15/2010;1192.2;1192.2;440212040;;15728.57;6172175;11523.5;11523.5;402422100
04/16/2010;1165.91;1165.91;577626933;;15482.56;6243439;11259.7;11259.7;543413800
04/19/2010;1159.96;1159.96;429985988;;15469.36;2497820;11199.5;11199.5;399171000
04/20/2010;1170.46;1170.46;532639018;;15575.93;8573439;11305.6;11305.6;454774400
04/21/2010;1146.03;1146.03;435007202;;15684.63;22848511;11064.7;11064.7;381542200
04/22/2010;1120.59;1120.59;507074992;;15774.67;16062083;10821.9;10821.9;473323600
04/23/2010;1130.44;1130.44;455053568;;15980.78;14801280;10918.2;10918.2;425076200
04/26/2010;1132.12;1132.12;487348065;;16046.03;4678176;10939.3;10939.3;466024100
04/27/2010;1084.6;1084.6;533725456;;15790.21;15229571;10480.9;10480.9;501410500
04/28/2010;1051.18;1051.18;780238102;;15928.24;5933548;10167;10167;737800300
04/29/2010;1079.99;1079.99;595748316;;15913.88;4346506;10441;10441;560719200
04/30/2010;1086.68;1086.68;525988948;;15842.26;5592885;10492.2;10492.2;502500300
05/03/2010;1078.39;1078.39;352862485;;15784.92;3199678;10422.8;10422.8;339222600
05/04/2010;1019.34;1019.34;881496713;;15259.12;9028444;9859.1;9859.1;845777000
05/05/2010;995.74;995.74;932148262;;15242.4;5865438;9635.2;9635.2;899447800
05/06/2010;965.57;965.57;935223052;;14973.47;5693774;9352.6;9352.6;903882800
05/07/2010;934.03;934.03;938042748;;14847.53;5036559;9046.1;9046.1;895622300
05/10/2010;1071.57;1071.57;953151135;;15420.57;6280419;10351.9;10351.9;914933500
05/11/2010;1034.91;1034.91;565939574;;15505.65;4967618;10008.6;10008.6;545709800
05/12/2010;1043.75;1043.75;429813321;;15577.36;4436722;10089.8;10089.8;409934100
05/13/2010;1031.76;1031.76;340062123;;15490.29;2070253;9977.5;9977.5;323797700
05/14/2010;963.45;963.45;565185019;;15193.46;6862364;9314.7;9314.7;543669200
05/17/2010;959.81;959.81;507596900;;14892.76;7767267;9286.1;9286.1;485098400
05/18/2010;996.12;996.12;466467197;;14922.34;4137692;9627.6;9627.6;440895200
05/19/2010;971.22;971.22;477628009;;14658.24;4603588;9376.5;9376.5;462662400
05/20/2010;960.07;960.07;420720115;;14211.72;8674270;9270.5;9270.5;398776300
05/21/2010;974.41;974.41;619243031;;14567.1;8051369;9407.3;9407.3;596170400
05/24/2010;962.28;962.28;249583967;;14586.04;2324597;9287.9;9287.9;232290800
05/25/2010;932.6;932.6;437979778;;14264.32;2623873;9004.4;9004.4;418117100
05/26/2010;935.06;935.06;455599360;;14342.61;6819740;9042.6;9042.6;433835300
05/27/2010;963.52;963.52;480632383;;14645.98;4960272;9334.9;9334.9;445900200
05/28/2010;973.61;973.61;376162783;;14504.14;2725948;9425.5;9425.5;360326900
05/31/2010;966.64;966.64;181116957;;14487.31;953178;9359.4;9359.4;173182000
06/01/2010;960.8;960.8;350647654;;14270.71;3695819;9299.7;9299.7;337238800
06/02/2010;956.75;956.75;368676956;;14243.76;4366591;9268;9268;356215600
06/03/2010;958.25;958.25;324173556;;14135.08;4229355;9276.2;9276.2;308479900
06/04/2010;920.66;920.66;494729878;;13818.03;3351984;8923.4;8923.4;478586700
06/07/2010;907.79;907.79;399446855;;13503.75;8790881;8795.3;8795.3;387928900
06/08/2010;894.58;894.58;323321747;;13622.09;4917990;8669.8;8669.8;307535900
06/09/2010;914.21;914.21;332341779;;13872.44;6117788;8868.7;8868.7;317810800
06/10/2010;949.21;949.21;359276011;;14155.79;5939108;9198.2;9198.2;326261900
06/11/2010;987.57;987.57;606729926;;14217.71;1964386;9561.7;9561.7;573799700
06/14/2010;990.2;990.2;361621305;;14279.75;2964186;9584;9584;344638200
06/15/2010;1006.97;1006.97;394404811;;14423.16;5402458;9742;9742;368616600
06/16/2010;1001.08;1001.08;363522697;;14391.73;2846581;9683.3;9683.3;339890000
06/17/2010;1009.11;1009.11;443288998;;14344.47;2540173;9755.1;9755.1;404242400
06/18/2010;1032.69;1032.69;1180105783;;14342.7;7227892;9971.8;9971.8;1136394000
06/21/2010;1041.64;1041.64;287468003;;14428.11;5447318;10071.9;10071.9;264310000
06/22/2010;1035.87;1035.87;314770511;;14338.11;1341716;10016.1;10016.1;258650000
06/23/2010;1022.7;1022.7;237193284;;14252.45;1521153;9886;9886;216265000
06/24/2010;991.65;991.65;293060898;;14120.76;1496544;9586.5;9586.5;272190300
06/25/2010;987.4;987.4;366480029;;14198.29;2384424;9535;9535;293097400
