Dates;PX_LAST;LAST_PRICE;PX_VOLUME
01/04/2010;12145.1;12145.1;344688100
01/05/2010;12204.4;12204.4;445018600
01/06/2010;12222.5;12222.5;220825600
01/07/2010;12166.3;12166.3;314408900
01/08/2010;12163;12163;309714300
01/11/2010;12074.5;12074.5;305657200
01/12/2010;11966.1;11966.1;319965200
01/13/2010;11958.3;11958.3;248337700
01/14/2010;11999.8;11999.8;254664000
01/15/2010;11845;11845;341779200
01/18/2010;11870.7;11870.7;224106600
01/19/2010;12022.6;12022.6;384716800
01/20/2010;11709;11709;432577200
01/21/2010;11444;11444;523430500
01/22/2010;11373.4;11373.4;461265400
01/25/2010;11249.3;11249.3;412856800
01/26/2010;11347.3;11347.3;504705100
01/27/2010;11042.2;11042.2;391740200
01/28/2010;10829.3;10829.3;460803200
01/29/2010;10947.7;10947.7;391248500
02/01/2010;10995.2;10995.2;267976600
02/02/2010;11140.9;11140.9;539283100
02/03/2010;10888.4;10888.4;491512200
02/04/2010;10241.7;10241.7;755520000
02/05/2010;10103.3;10103.3;771664100
02/08/2010;10206.3;10206.3;495798600
02/09/2010;10275.4;10275.4;460147500
02/10/2010;10455;10455;376427200
02/11/2010;10281.7;10281.7;291926400
02/12/2010;10224.9;10224.9;211082500
02/15/2010;10293.6;10293.6;272411600
02/16/2010;10393.9;10393.9;211753100
02/17/2010;10498.6;10498.6;302054600
02/18/2010;10574.2;10574.2;238732700
02/19/2010;10676.7;10676.7;286886600
02/22/2010;10570.5;10570.5;174716300
02/23/2010;10312.9;10312.9;236671600
02/24/2010;10254;10254;245565800
02/25/2010;10126.2;10126.2;242257900
02/26/2010;10333.6;10333.6;286519300
03/01/2010;10434.9;10434.9;192439200
03/02/2010;10521.5;10521.5;216165000
03/03/2010;10664.5;10664.5;228766800
03/04/2010;10745.3;10745.3;282498800
03/05/2010;11019.8;11019.8;257180700
03/08/2010;11078.3;11078.3;193596500
03/09/2010;11002.8;11002.8;206305200
03/10/2010;11121;11121;277593000
03/11/2010;11045.4;11045.4;233017900
03/12/2010;11077;11077;185361700
03/15/2010;10957.8;10957.8;268210900
03/16/2010;11059.3;11059.3;197596700
03/17/2010;11166.8;11166.8;251232700
03/18/2010;11073.5;11073.5;248319500
03/19/2010;10990.8;10990.8;654694100
03/22/2010;10861.9;10861.9;251332800
03/23/2010;10996.2;10996.2;286150000
03/24/2010;10866.3;10866.3;308335100
03/25/2010;11091.4;11091.4;207881800
03/26/2010;11071.1;11071.1;222837800
03/29/2010;11091;11091;235163400
03/30/2010;10980.7;10980.7;273308400
03/31/2010;10871.3;10871.3;315500900
04/01/2010;11067.9;11067.9;365252200
04/02/2010;11067.9;11067.9;365252200
04/05/2010;11067.9;11067.9;365252200
04/06/2010;11160.6;11160.6;410186900
04/07/2010;11191.3;11191.3;367606900
04/08/2010;11076.3;11076.3;285668900
04/09/2010;11394.2;11394.2;403110100
04/12/2010;11460.8;11460.8;304853000
04/13/2010;11461;11461;467147700
04/14/2010;11503.7;11503.7;251405100
04/15/2010;11523.5;11523.5;402422100
04/16/2010;11259.7;11259.7;543413800
04/19/2010;11199.5;11199.5;399171000
04/20/2010;11305.6;11305.6;454774400
04/21/2010;11064.7;11064.7;381542200
04/22/2010;10821.9;10821.9;473323600
04/23/2010;10918.2;10918.2;425076200
04/26/2010;10939.3;10939.3;466024100
04/27/2010;10480.9;10480.9;501410500
04/28/2010;10167;10167;737800300
04/29/2010;10441;10441;560719200
04/30/2010;10492.2;10492.2;502500300
05/03/2010;10422.8;10422.8;339222600
05/04/2010;9859.1;9859.1;845777000
05/05/2010;9635.2;9635.2;899447800
05/06/2010;9352.6;9352.6;903882800
05/07/2010;9046.1;9046.1;895622300
05/10/2010;10351.9;10351.9;914933500
05/11/2010;10008.6;10008.6;545709800
05/12/2010;10089.8;10089.8;409934100
05/13/2010;9977.5;9977.5;323797700
05/14/2010;9314.7;9314.7;543669200
05/17/2010;9286.1;9286.1;485098400
05/18/2010;9627.6;9627.6;440895200
05/19/2010;9376.5;9376.5;462662400
05/20/2010;9270.5;9270.5;398776300
05/21/2010;9407.3;9407.3;596170400
05/24/2010;9287.9;9287.9;232290800
05/25/2010;9004.4;9004.4;418117100
05/26/2010;9042.6;9042.6;433835300
05/27/2010;9334.9;9334.9;445900200
05/28/2010;9425.5;9425.5;360326900
05/31/2010;9359.4;9359.4;173182000
06/01/2010;9299.7;9299.7;337238800
06/02/2010;9268;9268;356215600
06/03/2010;9276.2;9276.2;308479900
06/04/2010;8923.4;8923.4;478586700
06/07/2010;8795.3;8795.3;387928900
06/08/2010;8669.8;8669.8;307535900
06/09/2010;8868.7;8868.7;317810800
06/10/2010;9198.2;9198.2;326261900
06/11/2010;9561.7;9561.7;573799700
06/14/2010;9584;9584;344638200
06/15/2010;9742;9742;368616600
06/16/2010;9683.3;9683.3;339890000
06/17/2010;9755.1;9755.1;404242400
06/18/2010;9971.8;9971.8;1136394000
06/21/2010;10071.9;10071.9;264310000
06/22/2010;10016.1;10016.1;258650000
06/23/2010;9886;9886;216265000
06/24/2010;9586.5;9586.5;272190300
06/25/2010;9535;9535;293097400
06/28/2010;9688.5;9688.5;255422200
06/29/2010;9160.4;9160.4;359505600
06/30/2010;9263.4;9263.4;500563600
07/01/2010;9178.2;9178.2;700305900
07/02/2010;9250.8;9250.8;467052200
07/05/2010;9281.5;9281.5;347006800
07/06/2010;9615;9615;373050500
07/07/2010;9987.4;9987.4;434159300
07/08/2010;10080.5;10080.5;513238200
07/09/2010;10127.3;10127.3;323618200
07/12/2010;10058.2;10058.2;322506100
07/13/2010;10259.5;10259.5;369697300
07/14/2010;10278.5;10278.5;368773600
07/15/2010;10160.2;10160.2;434651400
07/16/2010;9991.7;9991.7;496778500
07/19/2010;9929.8;9929.8;367598900
07/20/2010;10061.3;10061.3;604503900
07/21/2010;10040.8;10040.8;683843300
07/22/2010;10302.9;10302.9;502091800
07/23/2010;10388.2;10388.2;302698000
07/26/2010;10506.7;10506.7;511216300
07/27/2010;10645;10645;357855300
07/28/2010;10643.9;10643.9;382972300
07/29/2010;10659.5;10659.5;341403300
07/30/2010;10499.8;10499.8;350886700
08/02/2010;10835.4;10835.4;471364800
08/03/2010;10871.4;10871.4;253377300
08/04/2010;10843.3;10843.3;267933300
08/05/2010;10840;10840;248343000
08/06/2010;10651.1;10651.1;285379800
08/09/2010;10812.6;10812.6;183663700
08/10/2010;10718.5;10718.5;207246900
08/11/2010;10374.8;10374.8;249686200
08/12/2010;10342.4;10342.4;270135500
08/13/2010;10275.8;10275.8;258190900
08/16/2010;10258.3;10258.3;173129800
08/17/2010;10369.5;10369.5;193901800
08/18/2010;10391;10391;191186800
08/19/2010;10238;10238;260552400
08/20/2010;10094.3;10094.3;196973300
08/23/2010;10221.2;10221.2;134169500
08/24/2010;10052.3;10052.3;174234200
08/25/2010;9894;9894;225371900
08/26/2010;10004.4;10004.4;174854000
08/27/2010;10148.2;10148.2;193401500
08/30/2010;10136;10136;98882540
08/31/2010;10187;10187;398686300
09/01/2010;10544.8;10544.8;275533400
09/02/2010;10537.6;10537.6;214227000
09/03/2010;10599.4;10599.4;225896200
09/06/2010;10622.7;10622.7;99494620
09/07/2010;10479.1;10479.1;192853000
09/08/2010;10586.2;10586.2;176978900
09/09/2010;10712.9;10712.9;243521900
09/10/2010;10689.6;10689.6;234641100
09/13/2010;10765.2;10765.2;194257900
09/14/2010;10806.6;10806.6;250309600
09/15/2010;10751.8;10751.8;271455200
09/16/2010;10716.8;10716.8;208747700
09/17/2010;10588.6;10588.6;683009700
09/20/2010;10743.1;10743.1;238790400
09/21/2010;10762.5;10762.5;268259000
09/22/2010;10555.2;10555.2;248345200
09/23/2010;10501.5;10501.5;286797400
09/24/2010;10727.6;10727.6;324719500
09/27/2010;10613;10613;207848900
09/28/2010;10590.7;10590.7;296220000
09/29/2010;10486.8;10486.8;301485900
09/30/2010;10514.5;10514.5;401537300
10/01/2010;10450.1;10450.1;665601200
10/04/2010;10383;10383;418527700
10/05/2010;10651.2;10651.2;572412300
10/06/2010;10700.2;10700.2;576443200
10/07/2010;10740.3;10740.3;569254500
10/08/2010;10720.8;10720.8;560649200
10/11/2010;10700.8;10700.8;346868800
10/12/2010;10648.2;10648.2;286473900
10/13/2010;10866.1;10866.1;357135900
10/14/2010;10849.7;10849.7;304324900
10/15/2010;10868.2;10868.2;567898800
10/18/2010;10897.7;10897.7;317004800
10/19/2010;10895.3;10895.3;416952000
10/20/2010;10896.9;10896.9;262217100
10/21/2010;10892.3;10892.3;341823000
10/22/2010;10924.8;10924.8;428530500
10/25/2010;10870.3;10870.3;471695800
10/26/2010;10797.8;10797.8;346782600
10/27/2010;10700.1;10700.1;340605900
10/28/2010;10753.5;10753.5;416049700
10/29/2010;10812.9;10812.9;430425400
11/01/2010;10649.5;10649.5;763209000
11/02/2010;10762.1;10762.1;440138500
11/03/2010;10569.5;10569.5;356982400
11/04/2010;10602.8;10602.8;493827500
11/05/2010;10428.1;10428.1;589986700
11/08/2010;10291.8;10291.8;392573000
11/09/2010;10409.8;10409.8;428642500
11/10/2010;10235.4;10235.4;445214100
11/11/2010;10149.5;10149.5;411527400
11/12/2010;10226.8;10226.8;524059400
11/15/2010;10349.7;10349.7;383981200
11/16/2010;10095.4;10095.4;290657300
11/17/2010;10189.3;10189.3;260791300
11/18/2010;10325.3;10325.3;325965100
11/19/2010;10271.7;10271.7;475373300
11/22/2010;9996.4;9996.4;327485600
11/23/2010;9691.8;9691.8;564762900
11/24/2010;9742.6;9742.6;509995200
11/25/2010;9721.8;9721.8;397478300
11/26/2010;9547.2;9547.2;457220900
11/29/2010;9324.7;9324.7;457639700
11/30/2010;9267.2;9267.2;490808500
12/01/2010;9678.4;9678.4;502708500
12/02/2010;9947.6;9947.6;605631500
12/03/2010;10014.8;10014.8;345653500
12/06/2010;9889.9;9889.9;212481400
12/07/2010;9924.7;9924.7;300474300
12/08/2010;10078.4;10078.4;223344300
12/09/2010;10185.5;10185.5;269306100
12/10/2010;10121.9;10121.9;228923600
12/13/2010;10151.2;10151.2;259751500
12/14/2010;10162.7;10162.7;342389200
12/15/2010;10009.8;10009.8;393726200
12/16/2010;10010.3;10010.3;384487800
12/17/2010;9898.1;9898.1;1013559000
12/20/2010;9996.1;9996.1;339365600
12/21/2010;10203.4;10203.4;253853400
12/22/2010;10183.5;10183.5;224257300
12/23/2010;10106.9;10106.9;211103000
12/24/2010;10106.9;10106.9;211103000
12/27/2010;9899;9899;416003200
12/28/2010;9903.5;9903.5;207254800
12/29/2010;9981.5;9981.5;216375100
12/30/2010;9859.1;9859.1;321081200
12/31/2010;9859.1;9859.1;321081200
01/03/2011;9888.3;9888.3;307458000
01/04/2011;9888.4;9888.4;487887400
01/05/2011;9801.4;9801.4;390572400
01/06/2011;9702.7;9702.7;360108600
01/07/2011;9560.7;9560.7;451373500
01/10/2011;9437.8;9437.8;485429000
01/11/2011;9582.1;9582.1;489646900
01/12/2011;10101.2;10101.2;619342100
01/13/2011;10370.8;10370.8;677085600
01/14/2011;10385.1;10385.1;471986800
01/17/2011;10280;10280;305191300
01/18/2011;10583.4;10583.4;442421200
01/19/2011;10556.5;10556.5;488845700
01/20/2011;10636.9;10636.9;425388800
01/21/2011;10829.1;10829.1;610713600
01/24/2011;10815.4;10815.4;284644000
01/25/2011;10664.4;10664.4;387210600
01/26/2011;10670.7;10670.7;285260300
01/27/2011;10828.7;10828.7;423764000
01/28/2011;10747;10747;423734300
01/31/2011;10806;10806;323480800
02/01/2011;10967.9;10967.9;407618800
02/02/2011;11010.2;11010.2;434631200
02/03/2011;10860.7;10860.7;413930000
02/04/2011;10854.7;10854.7;292715000
02/07/2011;10922.6;10922.6;346424500
02/08/2011;10965.1;10965.1;256843700
02/09/2011;10935.6;10935.6;229969100
02/10/2011;10791.9;10791.9;324887300
02/11/2011;10803.6;10803.6;220138500
02/14/2011;10774.7;10774.7;209089700
02/15/2011;10826.2;10826.2;214309400
02/16/2011;11047.8;11047.8;369838200
02/17/2011;11113;11113;287134900
02/18/2011;11068.1;11068.1;395296100
02/21/2011;10810.5;10810.5;300002600
02/22/2011;10701.9;10701.9;283036800
02/23/2011;10633.4;10633.4;273664400
02/24/2011;10647.6;10647.6;258736100
02/25/2011;10822.7;10822.7;288926400
02/28/2011;10850.8;10850.8;257700700
03/01/2011;10761.9;10761.9;282137300
03/02/2011;10643.8;10643.8;276278900
03/03/2011;10566.9;10566.9;280593500
03/04/2011;10498.7;10498.7;258793900
03/07/2011;10495.7;10495.7;313720600
03/08/2011;10568.7;10568.7;276868300
