,ds,trend,yhat,yhat_lower,yhat_upper,fact,anomaly,importance
0,2016-01-04,8615.756211991174,8615.756211991174,7572.574406194322,9898.552388849965,9313.200195,0,0.0
1,2016-01-05,8615.83342694619,8615.83342694619,7440.210636673149,9831.721976431907,9335.200195,0,0.0
2,2016-01-06,8615.910641901204,8615.910641901204,7390.93973029492,9759.433688045046,9197.400391,0,0.0
3,2016-01-07,8615.98785685622,8615.98785685622,7306.771897208285,9632.092043085155,9059.299805,0,0.0
4,2016-01-08,8616.065071811236,8616.065071811236,7319.102159690809,9827.049411239781,8909.200195,0,0.0
5,2016-01-11,8616.296716676281,8616.296716676281,7495.733496134867,9793.566208358314,8886.099609,0,0.0
6,2016-01-12,8616.373931631297,8616.373931631297,7434.184992020088,9730.226757058359,8915.400391,0,0.0
7,2016-01-13,8616.45114658631,8616.45114658631,7473.1499591058655,9723.993286214263,8934.5,0,0.0
8,2016-01-14,8616.528361541326,8616.528361541326,7345.87844814602,9899.527259613238,8787.700195,0,0.0
9,2016-01-15,8616.605576496342,8616.605576496342,7489.967764657097,9682.018286979177,8543.599609,0,0.0
10,2016-01-18,8616.837221361387,8616.837221361387,7411.706800273735,9730.519135555343,8469.299805,0,0.0
11,2016-01-19,8616.914436316401,8616.914436316401,7400.985766704641,9815.298219899829,8554.900391,0,0.0
12,2016-01-20,8616.991651271417,8616.991651271417,7330.773502763913,9897.677181042965,8281.400391,0,0.0
13,2016-01-21,8617.068866226433,8617.068866226433,7411.311215135258,9748.595468313957,8444.200195,0,0.0
14,2016-01-22,8617.146081181449,8617.146081181449,7515.5718151604515,9663.738407898163,8722.900391,0,0.0
15,2016-01-25,8617.377726046494,8617.377726046494,7489.907683840479,9827.422514570466,8567.700195,0,0.0
16,2016-01-26,8617.454941001508,8617.454941001508,7446.404996599202,9864.443973150866,8692.5,0,0.0
17,2016-01-27,8617.532155956524,8617.532155956524,7369.46871433945,9918.64475651168,8741.0,0,0.0
18,2016-01-28,8617.60937091154,8617.60937091154,7384.5153392783495,9829.566220477713,8590.599609,0,0.0
19,2016-01-29,8617.686585866553,8617.686585866553,7265.788367424778,9767.5560481154,8815.799805,0,0.0
20,2016-02-01,8617.918230731599,8617.918230731599,7468.282206154323,9778.732098731582,8788.5,0,0.0
21,2016-02-02,8617.995445686614,8617.995445686614,7481.5597496773435,9717.814104811974,8528.700195,0,0.0
22,2016-02-03,8618.07266064163,8618.07266064163,7359.670102797374,9869.862872779258,8314.5,0,0.0
23,2016-02-04,8618.149875596646,8618.149875596646,7427.712397380679,9847.026451524001,8468.099609,0,0.0
24,2016-02-05,8618.22709055166,8618.22709055166,7327.613072101096,9750.440888317833,8499.5,0,0.0
25,2016-02-08,8618.458735416705,8618.458735416705,7518.166476086351,9809.911131875651,8122.100098000001,0,0.0
26,2016-02-09,8618.53595037172,8618.53595037172,7547.172948676285,9721.51011841586,7927.600098000001,0,0.0
27,2016-02-10,8618.613165326735,8618.613165326735,7357.785939784093,9950.938886728582,8143.700195,0,0.0
28,2016-02-11,8618.69038028175,8618.69038028175,7498.128080302857,9732.63919066192,7746.299805,0,0.0
29,2016-02-12,8618.767595236766,8618.767595236766,7430.415147533056,9918.46370408618,7920.799805,0,0.0
30,2016-02-15,8618.999240101812,8618.999240101812,7361.7879714746705,9700.964808468456,8179.200195,0,0.0
31,2016-02-16,8619.076455056827,8619.076455056827,7369.73073940079,9783.255713957156,8137.600098000001,0,0.0
32,2016-02-17,8619.153670011843,8619.153670011843,7420.282287818802,9859.30361605774,8364.900391,0,0.0
33,2016-02-18,8619.230884966857,8619.230884966857,7514.153870628976,9677.07416943506,8295.400391,0,0.0
34,2016-02-19,8619.308099921873,8619.308099921873,7552.237731171306,9857.290112299168,8194.200195,0,0.0
35,2016-02-22,8619.539744786918,8619.539744786918,7481.077179929878,9777.948877545497,8387.0,0,0.0
36,2016-02-23,8619.616959741932,8619.616959741932,7406.390688848422,9742.010649313463,8267.599609,0,0.0
37,2016-02-24,8619.694174522767,8619.694174522767,7419.048973030272,9849.735695632753,8013.700195,0,0.0
38,2016-02-25,8619.771389303602,8619.771389303602,7301.831137162111,9979.501703595759,8215.599609,0,0.0
39,2016-02-26,8619.848604084435,8619.848604084435,7468.061036137977,9829.492513848658,8349.200195,0,0.0
40,2016-02-29,8620.080248426937,8620.080248426937,7554.8692107626775,9624.213697960653,8461.400391,0,0.0
41,2016-03-01,8620.15746320777,8620.15746320777,7527.202336895667,9688.163764922474,8611.0,0,0.0
42,2016-03-02,8620.234677988605,8620.234677988605,7417.424821007019,9709.584460779439,8764.5,0,0.0
43,2016-03-03,8620.31189276944,8620.31189276944,7368.911375300553,9691.911660492236,8767.0,0,0.0
44,2016-03-04,8620.389107550272,8620.389107550272,7528.356505792896,9741.604673575013,8811.599609,0,0.0
45,2016-03-07,8620.620751892775,8620.620751892775,7501.657823470843,9753.232338771726,8786.799805,0,0.0
